census_industry,class_of_worker,employed_persons,actual_weekly_hours,sample_persons,date,naics
170,1,816.6958,32667.832,1,2007-02-01,excluded
170,4,449619.9866,16543240.2987,191,2007-02-01,excluded
170,5,889.8943,35595.772000000004,1,2007-02-01,excluded
170,6,68084.61,2444480.7719,35,2007-02-01,excluded
170,7,259340.9804,8046481.3146,171,2007-02-01,excluded
170,8,3268.9942,82578.711,4,2007-02-01,excluded
180,2,3726.6439,118469.22899999999,3,2007-02-01,excluded
180,3,671.2235,40273.409999999996,1,2007-02-01,excluded
180,4,371506.8492,14086472.1801,207,2007-02-01,excluded
180,5,682.6789,34133.945,1,2007-02-01,excluded
180,6,71014.42050000001,3122092.9769,53,2007-02-01,excluded
180,7,469826.0415,19000973.1129,314,2007-02-01,excluded
180,8,8913.4218,293779.2725,5,2007-02-01,excluded
190,1,28847.4693,1122904.0133,24,2007-02-01,excluded
190,2,2869.1787,131427.378,2,2007-02-01,excluded
190,4,5708.6724,144617.9926,3,2007-02-01,excluded
190,6,2679.726,0.0,1,2007-02-01,excluded
190,7,7853.9583999999995,87924.4016,4,2007-02-01,excluded
270,2,912.239,36489.56,1,2007-02-01,excluded
270,4,98752.24,4067777.5317,44,2007-02-01,excluded
270,6,2892.742,90803.15,3,2007-02-01,excluded
270,7,41258.6762,1430112.0564000001,29,2007-02-01,excluded
280,1,368.5245,14740.98,1,2007-02-01,excluded
280,2,714.0221,18564.5746,1,2007-02-01,excluded
280,4,15329.7756,558590.8505,10,2007-02-01,excluded
280,6,9171.3824,149314.50979999997,6,2007-02-01,excluded
280,7,19223.5272,576675.2152,16,2007-02-01,excluded
290,2,2254.6459,112732.295,1,2007-02-01,excluded
290,3,1994.2776,79771.10399999999,1,2007-02-01,excluded
290,4,86867.28,3064852.3756999997,41,2007-02-01,excluded
290,5,1730.1577,117891.66100000001,2,2007-02-01,excluded
290,6,8527.0167,290030.7603,6,2007-02-01,excluded
290,7,25453.9646,880793.2187,18,2007-02-01,excluded
290,8,2372.4127,35586.1905,1,2007-02-01,excluded
370,4,106717.2169,5042045.0137,55,2007-02-01,21
370,6,2340.9611,175572.0825,1,2007-02-01,21
370,7,753.8012,57288.8912,1,2007-02-01,21
380,1,303.6273,12145.092,1,2007-02-01,21
380,4,78927.5762,3567865.3660999998,74,2007-02-01,21
