census_industry,class_of_worker,employed_persons,actual_weekly_hours,sample_persons,date,naics
170,1,1616.2398,66825.45550000001,2,2007-09-01,excluded
170,4,487702.0724,21043029.3334,211,2007-09-01,excluded
170,5,7851.3624,430421.6958,5,2007-09-01,excluded
170,6,79202.6259,3937373.3666,42,2007-09-01,excluded
170,7,379430.8843,15682725.5138,243,2007-09-01,excluded
170,8,7196.3357,217351.505,4,2007-09-01,excluded
180,2,496.1374,17364.809,1,2007-09-01,excluded
180,4,327736.33640000003,12874620.7287,202,2007-09-01,excluded
180,5,3634.9584,124327.03080000001,3,2007-09-01,excluded
180,6,52920.6627,2852048.7747,50,2007-09-01,excluded
180,7,395594.6204,18506045.243,311,2007-09-01,excluded
180,8,16712.1617,358685.3048,8,2007-09-01,excluded
190,1,41078.6788,1834889.6067,28,2007-09-01,excluded
190,2,5433.7766,250613.3615,2,2007-09-01,excluded
190,3,1544.9002,69520.509,1,2007-09-01,excluded
190,4,6751.3656,218072.698,3,2007-09-01,excluded
190,7,7680.0991,255637.38,3,2007-09-01,excluded
270,4,73487.2353,3260474.9197,34,2007-09-01,excluded
270,6,10602.5487,299744.11199999996,6,2007-09-01,excluded
270,7,33165.1223,1162765.1969,21,2007-09-01,excluded
280,1,3909.228,146148.02,3,2007-09-01,excluded
280,2,1431.92,53278.03599999999,2,2007-09-01,excluded
280,4,14856.7574,782058.2192,8,2007-09-01,excluded
280,5,319.0609,12762.436,1,2007-09-01,excluded
280,6,6243.0181,265873.636,5,2007-09-01,excluded
280,7,22759.5922,1047023.8505,27,2007-09-01,excluded
290,1,313.5035,0.0,1,2007-09-01,excluded
290,3,1469.3564,145466.2836,1,2007-09-01,excluded
290,4,109205.7486,3957092.5897,43,2007-09-01,excluded
290,5,836.8749,46864.9944,1,2007-09-01,excluded
290,6,9472.4518,421594.38,7,2007-09-01,excluded
290,7,36705.1568,1221198.0705,20,2007-09-01,excluded
370,4,91256.896,3974738.5576,56,2007-09-01,21
370,6,1268.0171,50720.684,1,2007-09-01,21
370,7,244.5476,9781.903999999999,1,2007-09-01,21
380,4,100212.3149,4743181.4381,89,2007-09-01,21
380,6,2826.8745,169612.47,1,2007-09-01,21
390,4,38390.6461,1682806.7181,40,2007-09-01,21
470,1,2510.2697,100410.788,1,2007-09-01,21
470,4,114815.9797,5462096.3242,67,2007-09-01,21
470,6,438.6715,21933.575,1,2007-09-01,21
480,4,7321.9262,304559.3453,4,2007-09-01,21
490,1,4621.714,92333.1508,2,2007-09-01,21
490,4,364876.7536,17049304.0369,190,2007-09-01,21
490,5,5449.5028,217980.11200000002,1,2007-09-01,21
490,6,6540.1638,353892.011,4,2007-09-01,21
490,7,12761.8618,754673.6083000001,6,2007-09-01,21
570,1,17369.2222,594159.5504,9,2007-09-01,22
570,2,6308.9842,335105.3148,5,2007-09-01,22
570,3,38324.9414,1484931.3972,18,2007-09-01,22
570,4,594073.3762,24611959.9412,286,2007-09-01,22
570,5,32363.6061,1270023.8344,19,2007-09-01,22
580,2,3246.5053,129860.212,1,2007-09-01,22
580,3,4461.3363,196298.7972,1,2007-09-01,22
580,4,110525.8068,4591734.6375,57,2007-09-01,22
590,2,699.8904,24496.164,1,2007-09-01,22
590,3,16351.151300000001,700535.8772,7,2007-09-01,22
590,4,42058.5107,1401191.3837,15,2007-09-01,22
670,2,23275.6588,946373.9547,9,2007-09-01,22
670,3,113393.3725,4316586.2283,53,2007-09-01,22
670,4,81292.8798,3233998.6874,37,2007-09-01,22
670,5,8301.4152,332056.608,5,2007-09-01,22
680,2,2414.1365,82774.6892,4,2007-09-01,22
680,3,93508.2891,3614766.0944,41,2007-09-01,22
680,4,20445.7437,882165.7226,9,2007-09-01,22
690,3,9128.9079,342793.1104,3,2007-09-01,22
690,4,12256.5622,494336.2328,6,2007-09-01,22
770,1,33572.1964,1404354.8395,20,2007-09-01,23
770,2,124040.7194,4916855.2754,74,2007-09-01,23
770,3,222904.7084,8425988.9013,114,2007-09-01,23
770,4,8693380.3252,346986654.2458,3744,2007-09-01,23
770,5,21249.4336,862399.9883999999,7,2007-09-01,23
770,6,1007943.5791,42615774.2363,478,2007-09-01,23
770,7,1883894.7124,68853356.5459,894,2007-09-01,23
