census_industry,class_of_worker,employed_persons,actual_weekly_hours,sample_persons,date,naics
170,2,6234.6025,249384.1,3,2011-08-01,excluded
170,4,664725.0811,25782312.1823,288,2011-08-01,excluded
170,5,6911.380099999999,43321.2681,6,2011-08-01,excluded
170,6,59836.647899999996,3163512.3098999998,33,2011-08-01,excluded
170,7,329661.0454,10748231.7359,209,2011-08-01,excluded
170,8,22819.1719,1272843.1112,11,2011-08-01,excluded
180,1,1777.0077,0.0,1,2011-08-01,excluded
180,4,463854.883,19256322.3441,246,2011-08-01,excluded
180,5,1009.0744,40362.976,3,2011-08-01,excluded
180,6,52927.9793,2410007.2240999998,47,2011-08-01,excluded
180,7,457434.365,18404561.0244,306,2011-08-01,excluded
180,8,23620.3162,1184019.8241,11,2011-08-01,excluded
190,1,27115.2674,1132536.9391,22,2011-08-01,excluded
190,2,7359.294,321791.11139999994,4,2011-08-01,excluded
190,3,6877.6068,303908.61360000004,2,2011-08-01,excluded
190,4,5164.9689,160457.68200000003,2,2011-08-01,excluded
190,7,6482.45,326286.87799999997,3,2011-08-01,excluded
270,4,53693.0897,2195651.1336,34,2011-08-01,excluded
270,6,18164.0632,885409.178,9,2011-08-01,excluded
270,7,19779.024699999998,551291.2204999999,14,2011-08-01,excluded
270,8,342.4969,13699.876,1,2011-08-01,excluded
280,3,464.907,18596.28,1,2011-08-01,excluded
280,4,46674.1673,1787013.8413,21,2011-08-01,excluded
280,5,274.5413,13727.064999999999,1,2011-08-01,excluded
280,6,11095.0378,415278.8272,7,2011-08-01,excluded
280,7,27136.4897,1370883.7849,27,2011-08-01,excluded
290,3,3499.3668000000002,123637.7725,4,2011-08-01,excluded
290,4,144741.8591,5783790.4368,59,2011-08-01,excluded
290,5,3598.6764000000003,137964.67,2,2011-08-01,excluded
290,6,20857.2241,545321.2778,11,2011-08-01,excluded
290,7,36361.8873,1220463.6923,19,2011-08-01,excluded
370,4,68035.483,3263081.5723,33,2011-08-01,21
370,7,1375.8791,55035.164000000004,1,2011-08-01,21
380,1,3538.3141,159224.13450000001,1,2011-08-01,21
380,4,150412.8941,7277046.2769,109,2011-08-01,21
390,4,38488.276900000004,1634230.0131,28,2011-08-01,21
390,6,1326.8555000000001,59708.4975,2,2011-08-01,21
390,7,618.2829,49462.632000000005,1,2011-08-01,21
