census_industry,class_of_worker,employed_persons,actual_weekly_hours,sample_persons,date,naics
170,2,1488.8069,23820.9104,1,2012-12-01,excluded
170,3,2852.8697,114114.788,1,2012-12-01,excluded
170,4,507861.2424,18255366.6914,217,2012-12-01,excluded
170,5,5660.3847000000005,173434.14620000002,3,2012-12-01,excluded
170,6,58589.2808,2066774.331,39,2012-12-01,excluded
170,7,256401.1721,8036280.0655,174,2012-12-01,excluded
170,8,14354.4035,442660.186,6,2012-12-01,excluded
180,1,5392.316199999999,252037.52599999998,3,2012-12-01,excluded
180,3,398.405,9561.72,1,2012-12-01,excluded
180,4,362101.9717,14661825.1706,182,2012-12-01,excluded
180,5,352.7736,14110.944,1,2012-12-01,excluded
180,6,45039.198000000004,2302344.8687,38,2012-12-01,excluded
180,7,359839.2397,14202649.8779,246,2012-12-01,excluded
180,8,21469.285,874854.3798,10,2012-12-01,excluded
190,1,14176.4524,569982.06,14,2012-12-01,excluded
190,2,4458.9502,178358.008,2,2012-12-01,excluded
190,4,4011.7903,120353.709,1,2012-12-01,excluded
190,7,6364.0545,6467.5022,2,2012-12-01,excluded
270,4,52878.7161,2467071.0898,32,2012-12-01,excluded
270,6,17749.3647,881217.405,10,2012-12-01,excluded
270,7,18156.1562,605360.6597,12,2012-12-01,excluded
280,2,2905.2671,116210.68400000001,1,2012-12-01,excluded
280,4,14847.1886,516225.26920000004,7,2012-12-01,excluded
280,6,1113.5832,46839.1725,2,2012-12-01,excluded
280,7,16524.4786,380481.82310000004,17,2012-12-01,excluded
280,8,409.8896,34430.7264,1,2012-12-01,excluded
290,1,270.2437,10809.748,1,2012-12-01,excluded
290,4,100891.0106,4456372.0614,40,2012-12-01,excluded
290,6,10311.108400000001,477844.4632,4,2012-12-01,excluded
290,7,23950.861,861872.1552,14,2012-12-01,excluded
370,2,3392.8665,135714.66,1,2012-12-01,21
370,4,70653.76209999999,3046107.3815,37,2012-12-01,21
370,7,5413.7392,179941.21000000002,2,2012-12-01,21
380,4,82270.911,3634647.84,75,2012-12-01,21
380,6,287.496,0.0,1,2012-12-01,21
390,3,282.1386,16928.316,1,2012-12-01,21
390,4,46358.4599,1957131.8884,31,2012-12-01,21
390,7,377.2964,7545.928,1,2012-12-01,21
470,4,95838.9426,3989119.4007,60,2012-12-01,21
470,6,885.0504,53103.024,1,2012-12-01,21
490,4,551501.1358,28516209.0663,271,2012-12-01,21
490,5,308.2765,25895.226,1,2012-12-01,21
490,6,22474.1498,1014652.2636,14,2012-12-01,21
490,7,1254.26,50170.4,1,2012-12-01,21
570,1,25660.978,1090934.9494,9,2012-12-01,22
570,2,5414.824699999999,221110.85119999998,4,2012-12-01,22
570,3,35757.2004,1417891.9575999998,16,2012-12-01,22
570,4,487705.5905,20476863.9972,245,2012-12-01,22
570,5,34860.6384,1341879.3362,17,2012-12-01,22
580,1,4014.9509,160598.036,1,2012-12-01,22
580,3,7169.2248,286768.99199999997,2,2012-12-01,22
580,4,117040.86409999999,5077224.4976,51,2012-12-01,22
590,2,2613.647,117614.11499999999,1,2012-12-01,22
590,3,10344.7398,455115.3654,5,2012-12-01,22
590,4,88415.4633,3832625.4271,32,2012-12-01,22
590,5,1847.1549,73886.196,1,2012-12-01,22
670,2,24677.3203,967059.1772,9,2012-12-01,22
670,3,95903.3559,3898051.5584,45,2012-12-01,22
670,4,90703.9408,3521594.9881,42,2012-12-01,22
670,5,4758.355,167505.7132,3,2012-12-01,22
680,3,79145.1654,2780461.0013,36,2012-12-01,22
680,4,21432.2705,858124.0662,9,2012-12-01,22
690,1,2060.8144,82432.576,1,2012-12-01,22
690,3,6647.8083,265912.332,2,2012-12-01,22
690,4,12040.007,648702.6908,5,2012-12-01,22
770,1,28984.1081,1350630.3965,12,2012-12-01,23
770,2,145963.8643,5441451.1278,78,2012-12-01,23
770,3,243665.1781,9736995.2973,113,2012-12-01,23
770,4,6234377.5549,243175395.9123,2597,2012-12-01,23
770,5,30184.3121,972070.6827,14,2012-12-01,23
770,6,808392.5543,31622604.0606,356,2012-12-01,23
770,7,1556678.2382,50856122.7385,702,2012-12-01,23
770,8,8504.740399999999,284944.958,4,2012-12-01,23
1070,4,125020.3997,5263057.7181,67,2012-12-01,31-33
1070,6,3027.1892,121087.568,1,2012-12-01,31-33
1070,7,5914.3225999999995,118286.45199999999,2,2012-12-01,31-33
1080,4,73681.9753,3085640.6268,33,2012-12-01,31-33
1080,7,7923.9043,382117.7048,3,2012-12-01,31-33
1090,4,135972.0103,5654447.4457,57,2012-12-01,31-33
1090,6,2823.3961,70584.9025,1,2012-12-01,31-33
1170,4,136551.0166,5585591.725,69,2012-12-01,31-33
1170,5,5035.8973,261453.4504,2,2012-12-01,31-33
1170,6,3550.3829,195271.0595,1,2012-12-01,31-33
1170,7,2956.1211,0.0,1,2012-12-01,31-33
1180,4,473508.5003,18055462.4364,227,2012-12-01,31-33
1180,6,1606.0451,0.0,1,2012-12-01,31-33
1180,7,1118.5924,33557.772,1,2012-12-01,31-33
1190,4,240888.9079,8164312.8126,100,2012-12-01,31-33
1190,6,11351.1945,588903.3844999999,8,2012-12-01,31-33
1190,7,36617.2292,1032221.9624,14,2012-12-01,31-33
1190,8,2959.9637000000002,148071.586,2,2012-12-01,31-33
1270,4,179177.6444,7051850.817,74,2012-12-01,31-33
1270,6,4797.5172,280040.5735,2,2012-12-01,31-33
1270,7,2282.2914,125526.027,1,2012-12-01,31-33
1280,4,172238.2526,6944549.9032,88,2012-12-01,31-33
1280,7,2908.8283,58176.566000000006,1,2012-12-01,31-33
1290,4,87704.9027,3439254.8347,39,2012-12-01,31-33
1290,6,3102.3427,155117.135,1,2012-12-01,31-33
1370,4,266183.2473,10982222.4133,96,2012-12-01,31-33
1370,6,2466.0133,73980.399,1,2012-12-01,31-33
1370,7,5762.1061,173178.722,2,2012-12-01,31-33
1390,4,4660.557000000001,228688.56200000003,2,2012-12-01,31-33
1470,4,2098.8979,67164.7328,1,2012-12-01,31-33
1480,4,135684.5023,5540556.808,51,2012-12-01,31-33
1480,7,522.0709,20882.836000000003,1,2012-12-01,31-33
1490,4,14278.3651,460868.09359999996,9,2012-12-01,31-33
1490,5,2858.6856,22869.4848,1,2012-12-01,31-33
1490,7,3141.9474,157097.37,1,2012-12-01,31-33
1570,4,34499.620800000004,1397634.7632,10,2012-12-01,31-33
1570,6,5702.5582,342153.492,2,2012-12-01,31-33
1590,2,308.5053,10797.6855,1,2012-12-01,31-33
