census_industry,class_of_worker,employed_persons,actual_weekly_hours,sample_persons,date,naics
170,2,849.1154,33964.616,1,2014-07-01,excluded
170,3,3152.8806,151338.2688,1,2014-07-01,excluded
170,4,768017.625,32203204.9818,353,2014-07-01,excluded
170,5,1849.3256000000001,63974.128000000004,4,2014-07-01,excluded
170,6,95117.7301,4237303.5095,49,2014-07-01,excluded
170,7,347373.3846,13683402.0877,239,2014-07-01,excluded
170,8,13887.3739,446199.6258,11,2014-07-01,excluded
180,1,2526.7804,101071.216,1,2014-07-01,excluded
180,2,406.3344,16253.376,1,2014-07-01,excluded
180,3,3803.3192,57049.788,1,2014-07-01,excluded
180,4,353663.5847,14829835.967,189,2014-07-01,excluded
180,5,5212.4043,167431.13030000002,3,2014-07-01,excluded
180,6,62033.9026,3384036.1346,49,2014-07-01,excluded
180,7,336494.8102,14603901.758200001,237,2014-07-01,excluded
180,8,14684.5902,526437.846,9,2014-07-01,excluded
190,1,35823.298,1363170.9235,28,2014-07-01,excluded
190,2,6752.8081,408218.3828,5,2014-07-01,excluded
190,3,2892.1979,144609.89500000002,1,2014-07-01,excluded
190,4,6443.0545,348868.5405,2,2014-07-01,excluded
190,6,2942.1309,88263.927,1,2014-07-01,excluded
190,7,3774.6975,86113.611,3,2014-07-01,excluded
270,4,78710.5735,2863455.8473,39,2014-07-01,excluded
270,6,7574.9941,270370.5275,7,2014-07-01,excluded
270,7,15885.3538,606879.3954,15,2014-07-01,excluded
280,2,514.0563,15421.688999999998,1,2014-07-01,excluded
280,3,314.7452,11960.3176,1,2014-07-01,excluded
280,4,22528.8064,840984.2264,15,2014-07-01,excluded
280,5,1193.3401999999999,57491.649000000005,3,2014-07-01,excluded
280,6,313.3403,12533.612000000001,1,2014-07-01,excluded
280,7,15162.171199999999,348899.8457,15,2014-07-01,excluded
290,1,4224.0009,238139.46600000001,3,2014-07-01,excluded
290,2,4396.4283,217170.109,3,2014-07-01,excluded
290,3,3712.8462,98325.3406,2,2014-07-01,excluded
290,4,132444.8493,5096981.4459,54,2014-07-01,excluded
290,5,3713.8581000000004,134940.20640000002,3,2014-07-01,excluded
290,6,14045.9525,673235.9802000001,7,2014-07-01,excluded
290,7,34306.3937,1460904.7396,20,2014-07-01,excluded
370,4,79714.0489,3538154.575,44,2014-07-01,21
370,6,302.3263,16930.2728,1,2014-07-01,21
380,1,174.7895,6991.58,1,2014-07-01,21
380,4,65318.2498,2960569.0666,65,2014-07-01,21
390,4,50433.107,2016511.2436,31,2014-07-01,21
390,7,715.8412,50108.884,1,2014-07-01,21
470,4,98735.55129999999,4528463.3902,54,2014-07-01,21
470,6,3215.9057,51114.435999999994,2,2014-07-01,21
490,1,425.7104,0.0,1,2014-07-01,21
490,4,783410.0679,35763185.1068,354,2014-07-01,21
490,5,364.8217,14592.868,1,2014-07-01,21
490,6,8549.6252,660215.165,5,2014-07-01,21
490,7,9684.172,291601.78900000005,6,2014-07-01,21
570,1,26458.3775,1130576.1923,12,2014-07-01,22
570,2,3578.2228999999998,148217.2262,2,2014-07-01,22
570,3,31454.1154,1159421.5729999999,16,2014-07-01,22
570,4,502646.8524,20372328.0217,235,2014-07-01,22
570,5,45483.1266,1917051.3489,29,2014-07-01,22
580,4,125113.4413,5019374.0833,58,2014-07-01,22
590,3,21237.3283,782183.8858,7,2014-07-01,22
590,4,106334.7767,4159046.0405,40,2014-07-01,22
