census_industry,class_of_worker,employed_persons,actual_weekly_hours,sample_persons,date,naics
170,3,663.4745,26538.980000000003,1,2016-05-01,excluded
170,4,751527.2557,32462362.8529,320,2016-05-01,excluded
170,5,8279.6719,325663.1752,5,2016-05-01,excluded
170,6,76556.3307,3540368.8793,47,2016-05-01,excluded
170,7,357127.1253,14678452.3192,190,2016-05-01,excluded
170,8,16960.264,563720.7420999999,8,2016-05-01,excluded
180,1,3049.8477,167741.6235,1,2016-05-01,excluded
180,4,451823.9069,18848966.6823,219,2016-05-01,excluded
180,5,12223.8225,470888.49,4,2016-05-01,excluded
180,6,67933.9326,3682164.164,41,2016-05-01,excluded
180,7,439718.6245,18417923.4181,280,2016-05-01,excluded
180,8,9082.5031,323893.9832,5,2016-05-01,excluded
190,1,20215.45,811889.2808000001,23,2016-05-01,excluded
190,2,7934.6591,317386.364,4,2016-05-01,excluded
190,4,15779.1296,443065.18450000003,5,2016-05-01,excluded
190,6,9758.1016,469405.668,3,2016-05-01,excluded
190,7,5391.2384,49170.0766,3,2016-05-01,excluded
270,4,76332.6312,3310616.8178,41,2016-05-01,excluded
270,5,577.7483,17332.449,1,2016-05-01,excluded
270,6,16087.1222,721718.918,10,2016-05-01,excluded
270,7,32355.8464,1482964.7038,17,2016-05-01,excluded
280,2,1142.6782,41483.744099999996,3,2016-05-01,excluded
280,4,17483.3585,688178.6422,7,2016-05-01,excluded
280,5,2820.9003000000002,93243.8328,3,2016-05-01,excluded
280,7,20947.8756,1034117.5487,16,2016-05-01,excluded
290,1,926.3263,37053.051999999996,1,2016-05-01,excluded
290,2,700.6987,16816.7688,1,2016-05-01,excluded
290,3,997.2027,37409.4112,3,2016-05-01,excluded
290,4,137650.3272,5566734.0238,56,2016-05-01,excluded
290,6,17980.973,1006200.0195,8,2016-05-01,excluded
290,7,40170.7185,1345176.61,17,2016-05-01,excluded
370,4,85670.3603,3591366.5488,40,2016-05-01,21
370,6,1542.4671,92548.026,1,2016-05-01,21
380,4,46805.5722,2071043.6505,56,2016-05-01,21
390,4,28039.7101,1112515.4386,20,2016-05-01,21
390,7,824.4453,56768.60279999999,2,2016-05-01,21
470,4,138545.344,5937023.1436,68,2016-05-01,21
