census_industry,class_of_worker,employed_persons,actual_weekly_hours,sample_persons,date,naics
170,1,1357.8785,98829.83110000001,2,2017-06-01,excluded
170,2,288.0804,11523.216,1,2017-06-01,excluded
170,3,756.3648,30254.591999999997,1,2017-06-01,excluded
170,4,809942.4651,32698484.7945,331,2017-06-01,excluded
170,5,13130.1242,541023.2999999999,6,2017-06-01,excluded
170,6,70278.4246,3720035.0241,52,2017-06-01,excluded
170,7,403656.7656,15907267.0485,232,2017-06-01,excluded
170,8,11582.2675,467162.3445,7,2017-06-01,excluded
180,1,629.7344,25189.376000000004,1,2017-06-01,excluded
180,2,3750.1307,150005.228,1,2017-06-01,excluded
180,4,405824.7201,17610574.3838,219,2017-06-01,excluded
180,5,7132.1096,324312.176,9,2017-06-01,excluded
180,6,67943.9783,3392023.982,49,2017-06-01,excluded
180,7,362204.0278,15096626.8985,193,2017-06-01,excluded
180,8,11515.1574,379075.5965,8,2017-06-01,excluded
190,1,22174.4801,874022.0413,18,2017-06-01,excluded
190,2,6199.2645,243914.518,3,2017-06-01,excluded
190,3,8177.1229,389673.56590000005,3,2017-06-01,excluded
190,4,5491.1761,213068.0664,3,2017-06-01,excluded
190,7,4324.6487,0.0,2,2017-06-01,excluded
270,4,63404.8183,2732991.2541,29,2017-06-01,excluded
270,6,8027.5933,224796.858,5,2017-06-01,excluded
270,7,16192.0811,610789.5581,12,2017-06-01,excluded
280,1,1175.0912,94007.296,1,2017-06-01,excluded
280,2,4752.6384,187909.6932,3,2017-06-01,excluded
280,4,49842.7517,1739032.1228,27,2017-06-01,excluded
280,6,2300.9105999999997,0.0,3,2017-06-01,excluded
280,7,21032.6924,496009.7902,12,2017-06-01,excluded
290,1,1757.8743,70974.8033,4,2017-06-01,excluded
290,3,292.6396,13754.061199999998,1,2017-06-01,excluded
290,4,167380.0614,6352250.4941,62,2017-06-01,excluded
290,5,3591.462,140067.018,1,2017-06-01,excluded
290,6,9492.7126,449066.80600000004,4,2017-06-01,excluded
290,7,46006.414600000004,1690712.2426,13,2017-06-01,excluded
370,4,97740.7962,5230686.7798999995,38,2017-06-01,21
370,6,6001.0872,224647.8518,3,2017-06-01,21
380,4,43346.181,2078882.9662,55,2017-06-01,21
380,6,988.8037,39552.148,1,2017-06-01,21
390,4,40731.156,1642785.3413,25,2017-06-01,21
470,3,2601.7543,104070.172,1,2017-06-01,21
470,4,63717.943400000004,2773883.2507,43,2017-06-01,21
470,5,1366.3128,54652.511999999995,1,2017-06-01,21
470,6,5814.4065,232576.26,2,2017-06-01,21
470,7,441.5275,0.0,1,2017-06-01,21
490,1,3664.6727,146586.908,1,2017-06-01,21
490,4,466316.6862,22681815.2023,254,2017-06-01,21
490,6,7021.4596,268954.09400000004,5,2017-06-01,21
490,7,5330.664699999999,106017.089,4,2017-06-01,21
570,1,20699.4345,896643.7888,10,2017-06-01,22
570,2,21268.796599999998,827658.0603,10,2017-06-01,22
570,3,24767.3975,925160.4162000001,11,2017-06-01,22
570,4,559342.014,22439580.853,237,2017-06-01,22
570,5,31237.230199999998,1450218.0648,14,2017-06-01,22
580,4,108851.31,4292090.8172,44,2017-06-01,22
590,1,3474.5541,138982.164,1,2017-06-01,22
590,2,1150.3351,46013.404,1,2017-06-01,22
590,3,8860.2011,344328.2898,4,2017-06-01,22
590,4,127374.4697,5433227.1687,46,2017-06-01,22
670,2,27098.2934,1040850.7150999999,9,2017-06-01,22
670,3,142764.7181,5651728.3372,55,2017-06-01,22
670,4,102840.7001,4117505.0908,41,2017-06-01,22
670,5,9815.5346,432068.375,4,2017-06-01,22
680,1,2601.4377,124869.00959999999,1,2017-06-01,22
680,2,3182.8432,143227.944,1,2017-06-01,22
680,3,72440.8664,2574495.9638,29,2017-06-01,22
680,4,27890.4535,1100305.0695,10,2017-06-01,22
690,3,8286.7868,310767.6748,4,2017-06-01,22
690,4,8347.1723,322750.885,3,2017-06-01,22
770,1,33144.924399999996,1384223.4029,14,2017-06-01,23
770,2,112199.9122,4489307.2364,56,2017-06-01,23
770,3,280244.7467,10276115.4026,108,2017-06-01,23
770,4,8136965.5962,329194108.6384,3029,2017-06-01,23
770,5,29434.8452,1059908.4847,12,2017-06-01,23
770,6,923065.5579,39818591.5787,383,2017-06-01,23
770,7,1519179.207,53905993.9531,626,2017-06-01,23
770,8,6941.8699,332446.1956,3,2017-06-01,23
