census_industry,class_of_worker,employed_persons,actual_weekly_hours,sample_persons,date,naics
170,2,1047.6127,41904.507999999994,1,2018-11-01,excluded
170,4,861639.7661,34800320.1163,318,2018-11-01,excluded
170,5,8016.101700000001,321468.405,3,2018-11-01,excluded
170,6,140129.512,5376056.5484,65,2018-11-01,excluded
170,7,347665.8579,12426642.1707,190,2018-11-01,excluded
170,8,13529.3499,553091.9784,6,2018-11-01,excluded
180,4,396553.1778,17316211.8963,192,2018-11-01,excluded
180,5,338.8311,20329.865999999998,1,2018-11-01,excluded
180,6,65303.3356,2758908.9923,51,2018-11-01,excluded
180,7,324906.7118,13874748.1317,188,2018-11-01,excluded
180,8,14438.991399999999,504775.10219999996,3,2018-11-01,excluded
190,1,32228.68,1386095.9969000001,22,2018-11-01,excluded
190,2,5979.0662,243642.75040000002,3,2018-11-01,excluded
190,3,442.6271,16819.8298,1,2018-11-01,excluded
190,4,4709.6845,212872.8884,4,2018-11-01,excluded
190,6,7279.924,528871.8311999999,2,2018-11-01,excluded
190,7,9094.0245,379656.9773,5,2018-11-01,excluded
270,4,102075.783,4362976.3893,42,2018-11-01,excluded
270,6,10959.075499999999,405287.16969999997,8,2018-11-01,excluded
270,7,13161.2096,504147.9832,12,2018-11-01,excluded
280,1,499.3843,19975.372,1,2018-11-01,excluded
280,3,3831.73,153269.2,1,2018-11-01,excluded
280,4,20052.4629,962117.8951999999,11,2018-11-01,excluded
280,6,5209.5912,104900.1241,3,2018-11-01,excluded
280,7,5317.7441,234673.20500000002,7,2018-11-01,excluded
290,3,1913.5016,79003.20049999999,2,2018-11-01,excluded
290,4,100262.5167,4051527.7894,39,2018-11-01,excluded
290,5,6655.3451,261478.401,3,2018-11-01,excluded
290,6,13560.7748,408916.715,6,2018-11-01,excluded
290,7,38462.5771,1486220.4337,17,2018-11-01,excluded
370,4,118347.9923,5688478.0304,66,2018-11-01,21
370,6,4107.9874,194744.194,3,2018-11-01,21
380,4,41624.4453,1963736.0681,42,2018-11-01,21
390,4,26408.4506,1261040.585,15,2018-11-01,21
470,2,1474.4187,58976.748,1,2018-11-01,21
470,3,335.6885,14770.293999999998,1,2018-11-01,21
470,4,108537.5158,4751202.4787,51,2018-11-01,21
470,6,552.3719,27618.594999999998,1,2018-11-01,21
490,1,5317.3611,292454.8605,1,2018-11-01,21
490,4,505269.6504,25236685.047199998,244,2018-11-01,21
490,5,2791.1841999999997,110524.339,2,2018-11-01,21
490,6,29759.4391,1355050.8623,16,2018-11-01,21
490,7,15160.3695,607978.9324,7,2018-11-01,21
570,1,30918.9182,1353043.7174,16,2018-11-01,22
570,2,25948.5876,1277705.7051,10,2018-11-01,22
570,3,19696.3314,767519.5011,9,2018-11-01,22
570,4,606155.2662,25194899.0586,231,2018-11-01,22
570,5,26345.6279,1059103.2802,14,2018-11-01,22
580,3,9146.0046,338998.3503,3,2018-11-01,22
580,4,190510.9777,7616386.1303,68,2018-11-01,22
590,3,12688.2844,370671.3006,5,2018-11-01,22
590,4,108224.1218,4377448.3633,40,2018-11-01,22
590,5,3354.9668,167748.34,1,2018-11-01,22
670,2,25246.2372,850094.5142,9,2018-11-01,22
670,3,121433.8363,4872992.1693,47,2018-11-01,22
670,4,76454.0411,2802834.146,26,2018-11-01,22
670,5,11528.3754,428215.11439999996,3,2018-11-01,22
680,2,12942.3408,531909.3111,3,2018-11-01,22
680,3,51004.6834,1783888.8914,21,2018-11-01,22
680,4,17346.7855,714321.1328,10,2018-11-01,22
680,5,954.8308,38193.231999999996,1,2018-11-01,22
690,3,14154.7662,528445.9535000001,7,2018-11-01,22
690,4,16164.4301,646577.204,5,2018-11-01,22
770,1,31862.8815,1399480.4051,13,2018-11-01,23
770,2,139311.3567,5669926.3541,57,2018-11-01,23
770,3,220429.2082,8290994.3971,86,2018-11-01,23
770,4,8159194.3688,321426735.4979,2980,2018-11-01,23
770,5,30605.414,1135189.0939,14,2018-11-01,23
770,6,1063476.5896,44373636.1217,412,2018-11-01,23
770,7,1602539.3436,55483447.0216,617,2018-11-01,23
1070,4,121766.1775,5000617.5304000005,48,2018-11-01,31-33
1070,6,3060.2252,302962.2948,1,2018-11-01,31-33
1080,4,84339.4531,3484884.6066,37,2018-11-01,31-33
1080,6,416.1458,12484.374,1,2018-11-01,31-33
1090,4,149252.6624,6409990.6916,50,2018-11-01,31-33
1090,5,982.298,39291.92,1,2018-11-01,31-33
1170,4,168270.7083,7694020.1841,69,2018-11-01,31-33
1170,5,3079.993,123199.72,1,2018-11-01,31-33
1170,6,2260.1482,11300.741,1,2018-11-01,31-33
1180,1,2803.5683,126160.5735,1,2018-11-01,31-33
1180,4,442541.5943,17222678.6014,207,2018-11-01,31-33
1180,5,2116.6625,84666.5,1,2018-11-01,31-33
