census_industry,class_of_worker,employed_persons,actual_weekly_hours,sample_persons,date,naics
170,2,4082.6396,163305.584,1,2024-04-01,excluded
170,4,646301.2206,25085893.3862,205,2024-04-01,excluded
170,5,6487.488600000001,221495.4195,3,2024-04-01,excluded
170,6,126069.0803,5195320.8485,53,2024-04-01,excluded
170,7,328012.0827,13808627.0649,144,2024-04-01,excluded
170,8,26619.0438,1265365.082,6,2024-04-01,excluded
180,4,363301.781,14177529.022,136,2024-04-01,excluded
180,6,95605.0678,3864759.9916,51,2024-04-01,excluded
180,7,272514.9159,11141673.1158,127,2024-04-01,excluded
180,8,12671.7557,598026.5635,3,2024-04-01,excluded
190,1,37730.1894,1336589.2719,18,2024-04-01,excluded
190,3,631.736,25269.44,1,2024-04-01,excluded
190,4,3804.8871,152195.484,1,2024-04-01,excluded
190,7,2493.93,24939.3,1,2024-04-01,excluded
270,4,76254.9751,3023991.8811,28,2024-04-01,excluded
270,6,6630.7266,150815.3896,5,2024-04-01,excluded
270,7,15039.5471,460148.61950000003,7,2024-04-01,excluded
280,1,769.6499,30785.996,1,2024-04-01,excluded
280,2,4340.3534,173614.136,1,2024-04-01,excluded
280,4,1373.7078999999999,36012.3444,2,2024-04-01,excluded
280,5,1096.9355,0.0,1,2024-04-01,excluded
280,6,14773.4074,607719.454,5,2024-04-01,excluded
280,7,15373.517,538943.4369000001,8,2024-04-01,excluded
280,8,1579.2174,31584.347999999998,1,2024-04-01,excluded
290,1,4852.5741,194102.964,4,2024-04-01,excluded
290,4,79748.5353,3384630.0634999997,26,2024-04-01,excluded
290,5,2493.8015,99752.06,1,2024-04-01,excluded
290,6,16011.3834,544226.0902,8,2024-04-01,excluded
290,7,19473.4362,727518.0627,5,2024-04-01,excluded
370,4,61858.5468,2706661.2922,24,2024-04-01,21
370,6,703.9665,42237.99,1,2024-04-01,21
380,4,29810.7449,1365137.1278000001,26,2024-04-01,21
390,4,44101.9226,2030408.7548,15,2024-04-01,21
470,4,69645.0092,2911585.2688,29,2024-04-01,21
470,7,790.1222,39506.11,1,2024-04-01,21
490,4,371269.0789,16970041.4032,142,2024-04-01,21
490,6,6395.2056999999995,222637.7444,3,2024-04-01,21
490,7,4524.1513,180966.05200000003,1,2024-04-01,21
570,1,12524.2734,500970.936,6,2024-04-01,22
570,2,22152.344699999998,927560.216,6,2024-04-01,22
570,3,67342.3831,2793629.2685000002,19,2024-04-01,22
570,4,721292.2626,30748346.918,244,2024-04-01,22
570,5,33458.1494,1369893.1325,16,2024-04-01,22
570,6,856.2723,34250.892,1,2024-04-01,22
570,7,5851.3313,234053.25199999998,1,2024-04-01,22
580,1,7544.5778,301783.112,1,2024-04-01,22
580,2,4058.1995,162327.98,1,2024-04-01,22
