census_industry,class_of_worker,employed_persons,actual_weekly_hours,sample_persons,date,naics
170,2,9860.3566,361432.1936,2,2024-03-01,excluded
170,3,1702.9418,68117.672,1,2024-03-01,excluded
170,4,643230.9053,25059437.9795,185,2024-03-01,excluded
170,5,1873.1760000000002,48665.565,2,2024-03-01,excluded
170,6,127029.702,4647194.4833,59,2024-03-01,excluded
170,7,270821.2878,9785575.3508,116,2024-03-01,excluded
170,8,40239.3352,1909141.8140000002,9,2024-03-01,excluded
180,2,411.9583,16478.332000000002,1,2024-03-01,excluded
180,4,343827.1907,13786524.3294,125,2024-03-01,excluded
180,6,68376.647,3020460.6933,36,2024-03-01,excluded
180,7,300073.0938,10317839.7815,141,2024-03-01,excluded
180,8,9718.3727,510071.006,3,2024-03-01,excluded
190,1,28100.6313,1027768.193,15,2024-03-01,excluded
190,4,3514.3067,193286.8685,1,2024-03-01,excluded
190,7,5226.0757,95081.3661,4,2024-03-01,excluded
270,4,63087.3946,2513079.7921,24,2024-03-01,excluded
270,6,2852.1527,125838.688,2,2024-03-01,excluded
270,7,20064.3481,792322.906,7,2024-03-01,excluded
280,2,4529.9199,181196.796,1,2024-03-01,excluded
280,4,3672.3067,106496.8943,1,2024-03-01,excluded
280,6,19508.3342,847212.297,6,2024-03-01,excluded
280,7,10005.6895,307063.00389999995,7,2024-03-01,excluded
290,1,2968.2979,95814.14600000001,3,2024-03-01,excluded
290,4,82816.6295,3332212.2787,26,2024-03-01,excluded
290,5,2394.0145,95760.58000000002,1,2024-03-01,excluded
290,6,16914.941899999998,728778.4519999999,9,2024-03-01,excluded
290,7,19343.2778,527109.0459,5,2024-03-01,excluded
370,4,58895.596,2609066.2932,23,2024-03-01,21
370,6,735.2059,44112.354,1,2024-03-01,21
380,4,33097.234,1598939.4915,31,2024-03-01,21
390,4,22254.2114,810227.8118,11,2024-03-01,21
390,5,3492.374,139694.96,1,2024-03-01,21
470,4,68373.5377,2986899.5003,28,2024-03-01,21
470,6,669.5835,32140.007999999998,1,2024-03-01,21
470,7,2208.5182,55212.955,1,2024-03-01,21
490,4,315014.6937,15111494.236200001,114,2024-03-01,21
490,5,1204.9698,19279.5168,1,2024-03-01,21
490,6,7429.4121,144964.7916,6,2024-03-01,21
490,7,6744.7824,269791.29600000003,3,2024-03-01,21
570,1,23154.4621,804474.6377,10,2024-03-01,22
570,2,24727.6189,1129596.1904,7,2024-03-01,22
570,3,43956.283,1816106.6343,13,2024-03-01,22
570,4,737609.5261,30925061.0307,234,2024-03-01,22
570,5,46998.1685,1924154.0312,19,2024-03-01,22
570,6,977.1297,39085.187999999995,1,2024-03-01,22
570,7,9200.639500000001,358733.6215,2,2024-03-01,22
580,1,8041.2045,466094.4507,2,2024-03-01,22
580,3,3233.1744,129326.976,1,2024-03-01,22
580,4,155048.9374,6464224.8939000005,50,2024-03-01,22
580,5,612.0625,22646.3125,1,2024-03-01,22
590,1,6826.3852,273055.408,1,2024-03-01,22
590,3,12387.5646,462402.1432,3,2024-03-01,22
590,4,94581.028,3885406.1462000003,29,2024-03-01,22
590,5,7483.3547,268578.70350000006,2,2024-03-01,22
590,6,2469.4756,148168.53600000002,1,2024-03-01,22
590,7,535.986,16079.58,1,2024-03-01,22
670,1,636.442,25457.68,1,2024-03-01,22
670,2,21001.3895,903595.5538,6,2024-03-01,22
670,3,81741.4877,3129639.5099,22,2024-03-01,22
670,4,67730.6498,2640165.6129,24,2024-03-01,22
670,5,16666.0749,559261.4334999999,4,2024-03-01,22
680,2,10640.4737,449110.2112,3,2024-03-01,22
680,3,90259.3264,3484063.2181,25,2024-03-01,22
680,4,31229.1287,1275481.5659,10,2024-03-01,22
690,3,4566.3992,182655.968,1,2024-03-01,22
690,4,28174.0012,1133993.4665,7,2024-03-01,22
770,1,22154.7198,736828.5279999999,7,2024-03-01,23
770,2,109240.0268,4535868.3878,35,2024-03-01,23
770,3,172794.378,6302079.8387,49,2024-03-01,23
770,4,8876918.8221,339635331.2556,2406,2024-03-01,23
770,5,90056.4137,3598536.8373,25,2024-03-01,23
770,6,1087134.3099,40509738.9091,322,2024-03-01,23
770,7,1602708.4976000001,51092688.8493,462,2024-03-01,23
770,8,13905.7355,364279.0392,3,2024-03-01,23
