census_industry,class_of_worker,employed_persons,actual_weekly_hours,sample_persons,date,naics
170,1,1786.9991,0.0,1,2024-10-01,excluded
170,2,2844.636,113785.44,1,2024-10-01,excluded
170,3,5639.8933,225595.732,1,2024-10-01,excluded
170,4,787352.2428,31566128.4255,260,2024-10-01,excluded
170,5,18928.3611,547334.0143,7,2024-10-01,excluded
170,6,145511.5178,7307177.6997,53,2024-10-01,excluded
170,7,351571.706,14879638.7125,155,2024-10-01,excluded
170,8,17285.4149,535611.563,5,2024-10-01,excluded
180,4,313992.1113,11973736.1348,134,2024-10-01,excluded
180,5,5816.4307,232657.228,2,2024-10-01,excluded
180,6,89249.818,4104569.4061000003,50,2024-10-01,excluded
180,7,244655.0041,10076561.0641,137,2024-10-01,excluded
180,8,9484.782599999999,189695.652,3,2024-10-01,excluded
190,1,22482.6314,830767.7524,14,2024-10-01,excluded
190,2,2701.5042000000003,149362.0,2,2024-10-01,excluded
190,3,17134.2902,586585.3855,4,2024-10-01,excluded
190,6,3042.1421,139794.9295,2,2024-10-01,excluded
190,7,9095.9329,123502.7185,3,2024-10-01,excluded
270,4,41053.1576,1778315.5786000001,16,2024-10-01,excluded
270,5,844.6761,33787.044,1,2024-10-01,excluded
270,6,5294.1626,300494.46119999996,3,2024-10-01,excluded
270,7,13826.353799999999,640174.58,6,2024-10-01,excluded
270,8,665.907,26636.280000000002,1,2024-10-01,excluded
280,2,1599.2915,65386.212400000004,2,2024-10-01,excluded
280,4,19367.841,860967.7416000001,7,2024-10-01,excluded
280,6,18005.9875,603057.842,5,2024-10-01,excluded
280,7,6548.8423,376227.07959999994,4,2024-10-01,excluded
290,1,468.429,0.0,1,2024-10-01,excluded
290,2,2693.9706,107758.82400000001,1,2024-10-01,excluded
290,3,3991.8082,0.0,1,2024-10-01,excluded
290,4,106769.5904,4277722.6382,35,2024-10-01,excluded
290,6,4805.3306,195612.8575,4,2024-10-01,excluded
290,7,53784.9994,2238135.4121,16,2024-10-01,excluded
370,4,53643.9248,2550990.0013,27,2024-10-01,21
370,5,3073.463,122938.52,1,2024-10-01,21
370,6,844.6761,0.0,1,2024-10-01,21
370,7,2753.3217,82599.651,1,2024-10-01,21
380,4,25420.3558,1221227.6123,35,2024-10-01,21
380,6,2759.0071,179335.46149999998,1,2024-10-01,21
390,4,44525.0722,1648763.955,17,2024-10-01,21
390,7,3740.911,149636.44,1,2024-10-01,21
470,4,81388.4459,3520564.0151,34,2024-10-01,21
470,5,355.5783,14223.132000000001,1,2024-10-01,21
470,6,1206.1235,48244.939999999995,1,2024-10-01,21
490,2,2839.2802,161684.19299999997,2,2024-10-01,21
490,4,337708.7064,16775343.5099,152,2024-10-01,21
490,6,18669.305,803057.0373999999,10,2024-10-01,21
490,7,3606.9497,176765.744,5,2024-10-01,21
570,1,14724.6354,526169.81,3,2024-10-01,22
570,2,5171.466100000001,226706.535,3,2024-10-01,22
570,3,28209.4936,953935.9972,10,2024-10-01,22
570,4,694920.7401,29239996.0901,219,2024-10-01,22
570,5,27382.3378,899471.8512,12,2024-10-01,22
570,6,6107.8336,174474.7664,2,2024-10-01,22
570,7,1326.6787,39800.361,1,2024-10-01,22
580,4,138052.4262,5961970.5252,43,2024-10-01,22
580,5,4086.1664,163446.65600000002,1,2024-10-01,22
580,6,1335.7105,80142.62999999999,1,2024-10-01,22
590,3,9786.8118,435537.6336,4,2024-10-01,22
590,4,121046.1319,4496274.7476,31,2024-10-01,22
590,5,4952.3284,198093.136,1,2024-10-01,22
670,1,749.7438,62978.479199999994,1,2024-10-01,22
670,2,41015.8564,1620472.8819,10,2024-10-01,22
670,3,102765.5888,3903882.2449,29,2024-10-01,22
670,4,115934.5814,4713856.135,40,2024-10-01,22
670,5,5281.995800000001,306848.9588,2,2024-10-01,22
670,6,21416.9644,935441.032,4,2024-10-01,22
680,2,2168.3616,86734.464,1,2024-10-01,22
680,3,50747.9147,1775019.7724000001,15,2024-10-01,22
680,4,16839.537800000002,536818.1336000001,7,2024-10-01,22
690,3,10525.306799999998,421012.272,2,2024-10-01,22
690,4,4678.9568,169871.0656,4,2024-10-01,22
690,5,754.0654,30162.615999999998,1,2024-10-01,22
770,1,66325.0873,3025177.3254,20,2024-10-01,23
770,2,87539.7198,3286312.5734,32,2024-10-01,23
770,3,202476.8529,8363863.4705,63,2024-10-01,23
770,4,9173069.2608,359148101.3967,2620,2024-10-01,23
770,5,55770.2476,2090710.2881999998,20,2024-10-01,23
770,6,1105801.607,39528217.8814,336,2024-10-01,23
