census_industry,class_of_worker,employed_persons,actual_weekly_hours,sample_persons,date,naics
170,1,1892.3445,60555.024,1,2026-01-01,excluded
170,2,4542.3321,181693.28399999999,1,2026-01-01,excluded
170,3,474.8983,18995.932,1,2026-01-01,excluded
170,4,575775.3379,21735383.2754,172,2026-01-01,excluded
170,5,5623.209999999999,233058.38079999998,2,2026-01-01,excluded
170,6,74919.0465,2700030.7637,37,2026-01-01,excluded
170,7,369766.2951,12212650.5766,153,2026-01-01,excluded
170,8,720.8321,21624.963,1,2026-01-01,excluded
180,2,5280.6369,211225.47600000002,1,2026-01-01,excluded
180,3,336.8299,13473.196,1,2026-01-01,excluded
180,4,290645.1062,11492928.639,88,2026-01-01,excluded
180,5,21614.5198,620981.6603999999,5,2026-01-01,excluded
180,6,79786.8362,3271773.0277,40,2026-01-01,excluded
180,7,310308.8164,10750288.5789,128,2026-01-01,excluded
180,8,9348.9797,169440.0639,2,2026-01-01,excluded
190,1,20568.6575,832736.244,8,2026-01-01,excluded
190,2,2141.5717,85662.868,1,2026-01-01,excluded
190,4,5174.3451,165579.0432,1,2026-01-01,excluded
270,4,59754.8544,2403712.8,19,2026-01-01,excluded
270,6,4490.0444,182293.9465,3,2026-01-01,excluded
270,7,21492.7074,915733.5972,4,2026-01-01,excluded
280,1,705.4256,28217.024,1,2026-01-01,excluded
280,3,2064.5938,82583.75200000001,1,2026-01-01,excluded
280,4,23213.2355,949501.1895,8,2026-01-01,excluded
280,6,3916.7452000000003,147450.06910000002,5,2026-01-01,excluded
280,7,2661.1609,24356.952,4,2026-01-01,excluded
290,1,648.781,25951.239999999998,1,2026-01-01,excluded
290,2,1668.6814,66747.256,1,2026-01-01,excluded
290,4,82029.2077,2487912.3298,30,2026-01-01,excluded
290,6,28129.663099999998,932681.4366,8,2026-01-01,excluded
290,7,29319.3292,1339904.288,11,2026-01-01,excluded
370,4,65168.0827,3041655.5867999997,27,2026-01-01,21
380,4,48353.8361,2080912.3366,32,2026-01-01,21
390,2,4370.4993,174819.972,1,2026-01-01,21
390,4,13840.1122,635640.1389,9,2026-01-01,21
390,7,1505.0225,54581.505,3,2026-01-01,21
470,4,67693.2189,3252587.2399,20,2026-01-01,21
480,4,10798.0348,434949.4172,4,2026-01-01,21
490,4,344196.7862,17087588.8993,128,2026-01-01,21
490,6,16078.957299999998,702052.1935,5,2026-01-01,21
490,7,7957.9443,262402.12179999996,4,2026-01-01,21
570,1,13664.2127,573037.42,3,2026-01-01,22
570,2,39828.584500000004,1710322.5544,10,2026-01-01,22
570,3,61281.866500000004,2131862.0485,15,2026-01-01,22
570,4,769699.6336,33154187.557099998,224,2026-01-01,22
570,5,58538.1396,2469651.34,18,2026-01-01,22
570,6,4634.4408,192153.426,2,2026-01-01,22
570,7,3828.7202,45944.642400000004,1,2026-01-01,22
